Lemma,Discriminator,Dialect,Supertype,Morphotype,Features,Sememe,Definition,Examples,Synonyms,Gloss,Frequency,Etymology,Etymological notes
xaskoiji’o,,,VI,,,jijotu ,,,,,,,
xebni,,,,,,lofoto ,,,,,,,
xekri,,,,,,nosune ,,,,,,,
xenmu,,,VD,,,vatuli 132,,,,,,,
xerpritu,,,,,,dubepi ,,,,,,,
xerzunle,,,,,,dubepi 21,,,,,,,
xirkaba,,,,,,qibawe ,,,,,,,
xruii,,,,,,zebuho ,,,,,,,
xugri,,,,,,bawugi ,,,,,,,
xunre,,,,,,hetuku ,,,,,,,
xunre,,,,,,kukewo ,,,,,,,
xunsauai,,,,,,qehico ,,,,,,,
xusra,,,VT,,,royewa ,,,,,,,
zanru,,,,,,hagevu ,,,,,,,
za’o,,,ASP,,,tojiha ,,,,,,,
zdani,,,,,,virume ,,,,,,,
ze’i,,,AV,,,tozila ,,,,,,,
ze’u,,,AV,,,nigezu ,,,,,,,
zilbri,,,VT,,,bubeyi ,,,,,,,
zilfanva,,,,,,yulama ,,,,,,,
zilkanxe,,,VT,,,talage ,,,,,,,
zilseki,,,,,,conuqu ,,,,,,,
zilsno,,,VI,,,koheju ,,,,,,,
zilsutra,,,VI,,,denovo ,,,,,,,
zilvlina,,,VT,,,zarowi ,,,,,,,
zilzena/1,,,,,,risice ,,,,,,,
zirpu,,,,,,wazuko ,,,,,,,
zukte,,,VD,,,jahuzi ,,,,,,,
zutse,,,,,,vazoco ,,,,,,,
zvada’o,,,VT,,,ciniga ,,,,,,,
zvati,,,,,,civetu ,,,,,,,
zvaxru,,,VT,,,vetohi ,,,,,,,
∅,,,,,,jepigi ,,,,,,,
◇,,,,,,wusivu kliti,,,,,,,
◇,,,,,,keyobu kolme,,,,,,,
◇,,,,,,gudobu blaci,,,,,,,
◇,,,,,,bibana jinme,,,,,,,
◇,,,,,,ditifu pelji,,,,,,,
◇,,,,,,wolopa ctile,,,,,,,
◇,,,,,,giyedo slasi,,,,,,,
◇,,,,,,lefame *sicpi,,,,,,,
◇,,,,,,takupa rokci,,,,,,,
◇,,,,,,veqile kijno,,,,,,,
◇ *kokcinela,,,VI,,,ledohu ,,,,,,,
◇ bangu,,,VI,,,lasofe ,,,,,,,
◇ bifce,,,VI,,,vovalo ,,,,,,,
◇ bilma,,,VT,,,yotiku ,,,,,,,
◇ binxo,,,VT,,,heqida ,,,,,,,
◇ birje,,,VI,,,mupilo ,,,,,,,
◇ bisri’e,,,VI,,,zozomi ,,,,,,,
◇ bloti,,,VI,,,hunate ,,,,,,,
◇ cakyjukni,,,VI,,,sigivi ,,,,,,,
◇ canre,,,VI,,,cicuva ,,,,,,,
◇ ckafi,,,VI,,,dopema ,,,,,,,
◇ ckana,,,VI,,,dufiqa ,,,,,,,
