Lemma,Discriminator,Dialect,Supertype,Morphotype,Features,Sememe,Definition,Examples,Synonyms,Gloss,Frequency,Etymology,Etymological notes
e uiuro sfia,,,VUA,,,leyaku ,,,,,,,
e uiuro sfia,,,VT,,,cogane ,,,,,,,
e ujbo ban,,,VI,,,biwiwa ,,,,,,,
e umaori ban,,,VI,,,gegugu ,,,,,,,
e umiser stan,,,VI,,,femari ,,,,,,,
e unihon ban,,,VI,,,zijowa ,,,,,,,
e unihon stan,,,VI,,,jowuzi ,,,,,,,
e upolski ban,,,VI,,,ducavi ,,,,,,,
e upolski stan,,,VI,,,lubeho ,,,,,,,
e upona ban,,,VI,,,rejewe ,,,,,,,
e usterlin sfia,,,VUA,,,tatico ,,,,,,,
e usterlin sfia,,,VT,,,qipona ,,,,,,,
e utcoson ban,,,VI,,,yivota ,,,,,,,
e utcoson stan,,,VI,,,fecege ,,,,,,,
e utoan ban,,,VI,,,tavava ,,,,,,,
e zai man,,,VI_va_fo,,,zisefo 312,,,,,,,
e zinul jiu,,,VT,,,mevapa ,,,,,,,
e zlier kenen,,,VI,,,kekobo ,,,,,,,
e zlior kenon,,,VI,,,niwira ,,,,,,,
en a ol sai,,,VT_P0,,,royewa ,,,,,,,
en al ol sai,,,VT_P0,,,vujege ,,,,,,,
en an skun sai,,,VT,,,kahadi ,,,,,,,
en o ol sai,,,VT_va_fo,,,neruji 132,,,,,,,
en sre blu ski,,,VT_P0,,,qufuca ,,,,,,,
en sru blu ski,,,VT_P0,,,liduqu ,,,,,,,
fana,,,VT,,,hibeto ,,,,,,,
fania,,,VT,,,naneje ,,,,,,,
fanin,,,VI,,,tuhoji ,,,,,,,
filiel,,,VI,,,poyogo ,,,,,,,
filu,,,VT,,,mamuvu ,,,,,,,
flan,,,VI,,,wayami ,,,,,,,
fleon,,,VI,,,tatazu ,,,,,,,
flir,,,VI,,,culuke ,,,,,,,
flun,,,VI,,,yulogu ,,,,,,,
flur,,,VI,,,dayilu ,,,,,,,
fnala,,,VT,,,simeli ,,,,,,,
folin,,,VI,,,weyake ,,,,,,,
fsau,,,VT,,,gelage ,,,,,,,
fsuo,,,VT_P0,,,cimuge ,,,,,,,
fuher,,,VI,,,zeduyu ,,,,,,,
fulie,,,VT,,,ridowe ,,,,,,,
fuliu,,,VT,,,dotega ,,,,,,,
funai,,,VT_P0,,,zezafi ,,,,,,,
gali,,,VT_P0,,,liweva ,,,,,,,
ganol,,,VI,,,hiwufo ,,,,,,,
gare,,,VUA,,,moyeye ,,,,,,,
gare,,,VT,,,powune ,,,,,,,
gari,,,VT_P0,,,jojiso ,,,,,,,
gavgin,,,VI,,,zideli ,,,,,,,
gen,,,VI,,,biqoka ,,,,,,,
geri,,,VT_P0,,,cufada ,,,,,,,
gial,,,VI,,,qutaji ,,,,,,,
gien,,,VI,,,nuvapa ,,,,,,,
gin,,,VI,,,niyuna ,,,,,,,
gine,,,VT,,,mafeyo ,,,,,,,
ginen,,,VI,,,deneyu ,,,,,,,
gion,,,VI,,,bakimi ,,,,,,,
gjoi,,,VT_P0,,,gunimu ,,,,,,,
glaen,,,VI,,,haduzi ,,,,,,,
glaon,,,VI,,,yakego ,,,,,,,
glon,,,VI,,,rimaqe ,,,,,,,
gnoil,,,VI,,,vuniri ,,,,,,,
gogdul,,,VI,,,regara ,,,,,,,
gour,,,VI,,,yobanu ,,,,,,,
graulin,,,VI,,,zimoke ,,,,,,,
gulo,,,VUA,,,qogibe ,,,,,,,
gulo,,,VT,,,daqobo ,,,,,,,
gzeon,,,VI,,,fujofa ,,,,,,,
gzi,,,VT_P0,,,gunaco ,,,,,,,
jalan,,,VI,,,rewoma ,,,,,,,
jarai,,,VT_P1,,,capici ,,,,,,,
jbini,,,VT_P0,,,zirowa ,,,,,,,
jdai,,,VT_P0,,,sebifa ,,,,,,,
jeon,,,VI,,,seliwa ,,,,,,,
jero,,,VUA,,,sudoyu ,,,,,,,
jero,,,VT,,,muvobe ,,,,,,,
jgelin,,,VI,,,kuwevo ,,,,,,,
ji,,,V_JI,,,leqeya 12X,,,,,,,
jina,,,VI_va_fo,,,fedebo ,,,,,,,
jine,,,VI_va_fo,,,guqatu ,,,,,,,
jino,,,VI_va_fo,,,jagozi ,,,,,,,
jiu,,,V_JI,,,siluhu 21X,,,,,,,
jiune,,,VI_va_fo,,,zinara 321,,,,,,,
jlei,,,VI_va_fo+P0,,,pereco 132,,,,,,,
jnaha,,,VT_P0,,,cijite ,,,,,,,
jnaor,,,VI,,,wudana ,,,,,,,
jnehu,,,VT,,,keyepe ,,,,,,,
jni,,,VI_va_fo,,,kojuyu 132,,,,,,,
jni,,,VI_va_fo_fu,,,lumoja 1324,,,,,,,
jnihi,,,VT_R2,,,rufoge 1\2,,,,,,,
jnu,,,VI_va_fo,,,ruwoce 132,,,,,,,
jnu,,,VI_va_fo_fu,,,loluzi 1324,,,,,,,
jnuhi,,,VT_R2,,,rajega 1\2,,,,,,,
joeloi,,,VT_P1,,,dabono ,,,,,,,
jogmal,,,VI,,,mahige ,,,,,,,
jogme,,,VT,,,pigawi 21,,,,,,,
june,,,VT,,,pajipa ,,,,,,,
jveno,,,VT,,,wijavi ,,,,,,,
jveo,,,VT,,,ciruge ,,,,,,,
jvin,,,VI,,,heramo ,,,,,,,
kagve,,,VD,,,nuduya 231,,,,,,,
kagvehe,,,VT,,,wukiga 21,,,,,,,
kagvil,,,VI,,,minovu ,,,,,,,
kagvin,,,VI,,,yeqigo ,,,,,,,
kagvoi,,,V3T,,,wofebe ,,,,,,,
kagvui,,,V3T_R2,,,wigufo ,,,,,,,
kalan,,,VUA,,,lefaca ,,,,,,,
kalan,,,VT,,,pigasa ,,,,,,,
kalu,,,VT,,,wujiro 21,,,,,,,
kana,,,VT,,,nacona ,,,,,,,
kanan,,,VI,,,kewabe ,,,,,,,
kari,,,VT_P0,,,zikimu ,,,,,,,
katmi,,,VT_P0,,,letera ,,,,,,,
kcaor,,,VI,,,yohaye ,,,,,,,
kcuni,,,VT_P1,,,weqisa ,,,,,,,
kele,,,VUA,,,johiqa ,,,,,,,
kele,,,VT,,,hemoda ,,,,,,,
kelo,,,VI_va_fo,,,heyimu ,,,,,,,
kelon,,,VI,,,meluyo ,,,,,,,
kelu,,,VUA,,,yiheho ,,,,,,,
kelu,,,VT,,,hocegi ,,,,,,,
kena,,,VT,,,cewomo ,,,,,,,
kene,,,VT,,,memeni ,,,,,,,
kenen,,,VI,,,tehihi ,,,,,,,
