"Lemma","Lemma Simplified","Discriminator","Pinyin","Pinyin Discriminator","Dialect","Supertype","Morphotype","Features","Sememe","Definition","Examples","Synonyms","Gloss","Frequency","Etymology","Etymological","notes"
"希望 ","希望 ",,"xīwàng ",,,,,,,,,,,,,,
"常 ","常 ",,"cháng ",,,"Adv",,,,,,,,,,,
"年","年",1,"nián",1,,"N",,,,,,,,,,,
"幾 ","几 ",,"jǐ ",,,"D",,,,,,,,,,,
"床",,,,,,"N",,,"dufiqa",,,,,,,,
"很","很",1,"hěn",1,,,,,,,,,,,,,
"很多 ","很多 ",,"hěnduō ",,,"D",,,,,,,,,,,
"從","从",1,"cóng",1,,,,,,,,,,,,,
"心 ","心 ",,"xīn ",,,,,,,,,,,,,,
"必須 ","必须 ",,"bìxū ",,,,"must",,,,,,,,,,
"想 ","想 ",,"xiǎng ",,,,,,,,,,,,,,
"應 ","应 ",,"yīng ",,,,,,,,,,,,,,
"應該 ","应该 ",,"yīnggāi ",,,,,,,,,,,,,,
"成為 ","成为 ",,"chéngwéi ",,,,,,,,,,,,,,
"我","我",1,"wǒ",1,,"N",,,"lukayu",,,,,,,,
"或","或",1,"huò",1,,"COO",,,"zarowi",,,,,,,,
"所","所",1,"suǒ",1,,"Prt",,,,"that which",,,,,,,
"所以 ","所以 ",,"suǒyǐ ",,,,,,,,,,,,,,
"才","才",1,"cái",1,,,,,,,,,,,,,
"技術 ","技术 ",,"jìshù ",,,,,,,,,,,,,,
"把","把",1,"bǎ",1,,,,,,,,,,,,,
"指出 ","指出 ",,"zhǐchū ",,,,,,,,,,,,,,
"提供 ","提供 ",,"tígōng ",,,,,,,,,,,,,,
"政府 ","政府 ",,"zhèngfǔ ",,,,,,,,,,,,,,
"政治 ","政治 ",,"zhèngzhì ",,,,,,,,,,,,,,
"教育 ","教育 ",,"jiàoyū ",,,,,,,,,,,,,,
"整 ","整 ",,"zhěng ",,,"D",,,,,,,,,,,
"文化 ","文化 ",,"wénhuà ",,,,,,,,,,,,,,
"新 ","新 ",,"xīn ",,,"AN",,,,,,,,,,,
"方式 ","方式 ",,"fāngshì ",,,,,,,,,,,,,,
"方面 ","方面 ",,"fāngmiàn ",,,,,,,,,,,,,,
"於","于",1,"yú",1,,"V",,,,,,,,,,,
"日本 ","日本 ",,"rìběn ",,,,,,,,,,,,,,
"是否 ","是否 ",,"shìfǒu ",,,"Prt",,,,,,,,,,,
"時候 ","时候 ",,"shíhòu ",,,"N",,,,,,,,,,,
"時間 ","时间 ",,"shíjiān ",,,"N",,,,,,,,,,,
"更","更",1,"gèng",1,,,,,,,,,,,,,
"書",,,,,,"N",,,"vijutu",,,,,,,,
"曾 ","曾 ",,"céng ",,,,,,,,,,,,,,
"會","会",1,"huì",1,,"V",,,,,,,,,,,
"月 ","月 ",,"yuè ",,,"N",,,,,,,,,,,
"有","有",1,"yǒu",1,,"V",,,"pohuti",,,,,,,,
"有","有",2,"yǒu",2,,"V",,,"pocofe",,,,,,,,
"服務 ","服务 ",,"fúwù ",,,,,,,,,,,,,,
"未 ","未 ",,"wèi ",,,,,,,,,,,,,,
"本 ","本 ",,"běn ",,,"D",,,,,,,,,,,
"桌子",,,,,,"N",,,"yohaye",,,,,,,,
"條","条",1,"tiáo",,,"CL",,,,,,,,,,,
"槽",,,,,,"N",,,"cesawo",,,,,,,,
"樹",,,,,,"N",,,"tiliva",,,,,,,,
"樹木",,,,,,"N",,,"tiliva",,,,,,,,
"次","次",1,"cì",1,,,,,,,,,,,,,
"正 ","正 ",,"zhèng ",,,,,,,,,,,,,,
"此 ","此 ",,"cǐ ",,,,,,,,,,,,,,
"歲 ","岁 ",,"suì ",,,"N",,,,,,,,,,,
"每","每",1,"měi",1,,"D",,,,"every",,,,,,,
"比 ","比 ",,"bǐ ",,,,,,,,,,,,,,
"比較 ","比较 ",,"bǐjiào",,,,,,,,,,,,,,
"水",,1,"shuǐ",1,,"N",,,"seliwa",,,,,,,,
"沒 ","没 ",,"méi ",,,"Polar",,,,,,,,,,,
"沒有 ","没有 ",,"méiyǒu ",,,,,,,,,,,,,,
"活",,,,,,"VI",,,"yogije",,,,,,,,
"活動 ","活动 ",,"huódòng ",,,,,,,,,,,,,,
"海豚",,,,,,"N",,,"defuyi",,,,,,,,
"海豬",,,,,,"N",,,"defuyi",,,,,,,,
"火爐",,,,,,"N",,,"tagowu",,,,,,,,
"為","为",2,"wéi",1,,"V",,,"heqida",,,,,,,,
"為","为",1,"wéi",1,,,,,,,,,,,,,
"無 ","无 ",,"wú ",,,,,,,,,,,,,,
"無法 ","无法 ",,"wúfǎ ",,,,,,,,,,,,,,
"然後 ","然后 ",,"ránhòu ",,,,,,,,,,,,,,
"熊","熊",1,"xióng",,,"N",,,"bajasu",,,,,,,,
"爐",,,,,,"N",,,"tagowu",,,,,,,,
"牠","牠",1,"tā",,,"PRO",,,,,,,,,,,
"特別 ","特别 ",,"tèbié ",,,,,,,,,,,,,,
"犬","犬",1,"quǎn",,"Literary","N",,,"yobanu",,,,,,,,
"狗","狗",1,"gǒu",,,"N",,"C隻 C條","yobanu",,,,,,,,
"猫","猫",1,"māo",1,,"N",,"C隻","fufuki",,,,,,,,
"環境 ","环境 ",,"huánjìng ",,,,,,,,,,,,,,
"生",,,,,,"V",,"I","yogije",,,,,,,,
"生活",,,,,,"V",,"I","yogije",,,,,,,,
"生活 ","生活 ",,"shēnghuó ",,,,,,,,,,,,,,
"用 ","用 ",,"yòng ",,,,,,,,,,,,,,
"由","由",1,"yóu",1,,"V",,,,,,,,,,,
"由於 ","由于 ",,"yóuyú ",,,"Conj",,,,,,,,,,,
"當 ","当 ",,"dāng ",,,,,,,,,,,,,,
"當然 ","当然 ",,"dāngrán ",,,"Adv",,,,,,,,,,,
"發展 ","发展 ",,"fāzhǎn ",,,,,,,,,,,,,,
"發現 ","发现 ",,"fāxiàn ",,,,,,,,,,,,,,
"發生 ","发生 ",,"fāshēng ",,,"V",,,,,,,,,,,
"的","的",1,"de",1,,"Prt",,,,,,,,,,,
"看 ","看 ",,"kàn ",,,"V",,,,,,,,,,,
"看 ","看 ",,"kàn ",,,"V",,,,,,,,,,,
"看到 ","看到 ",,"kàndào ",,,,,,,,,,,,,,
"着","著",1,"zhe",1,,"ASP",,,"zuyufa",,,,,,,,
"知道 ","知道 ",,"zhīdào ",,,"V",,,,,,,,,,,
"研究 ","研究 ",,"yánjiù ",,,,,,,,,,,,,,
"磁道炮",,,,,,"N",,,"cawetu",,,,,,,,
"社會 ","社会 ",,"shèhuì ",,,"N",,,,,,,,,,,
"祂","祂",1,"tā",,,"PRO",,,,,,,,,,,
"種","种",1,"zhǒng",1,,"CL",,,,,,,,,,,
"空間 ","空间 ",,"kōngjiān ",,,,,,,,,,,,,,
"等","等",1,"děng",1,,"Prt",,,,"and so on, etc.",,,,,,,
"系統 ","系统 ",,"xìtǒng ",,,,,,,,,,,,,,
"經濟 ","经济 ",,"jīngjì ",,,,,,,,,,,,,,
"網路 ","网路 ",,"wǎnglù ",,,,,,,,,,,,,,
"美國 ","美国 ",,"Měiguó ",,,,,,,,,,,,,,
"老師 ","老师 ",,"lǎoshī ",,,,,,,,,,,,,,
"而","而",1,"ér",1,,"Conj",,,,"and yet",,,,,,,
"而且 ","而且 ",,"érqiě ",,,"Conj",,,,,,,,,,,
