"Lemma","Discriminator","Dialect","Supertype","Morphotype","Features","Sememe","Definition","Examples","Synonyms","Gloss","Frequency","Etymology","Etymological notes"
"maalum",3,,"AV",,,,"regularly",,,,,,
"maana",1,,"Conj",,,,"because, since",,,,,,
"maana",2,,"N",,"C9",,"intention, purpose",,,,,,
"maana",3,,"N",,"C9",,"cause",,,,,,
"maana",4,,"N",,"C9",,"meaning",,,,,,
"maana",5,,"N",,"C9",,"respect, honour",,,,,,
"maarufu",1,,"AN",,,,"famous, esteemed",,,,,,
"mabadiliko",,,,,,,,,,,,,
"maendeleo",,,,,,,,,,,,,
"maeneo",,,,,,,,,,,,,
"mafanikio",,,,,,,,,,,,,
"mafuta",,,,,,,,,,,,,
"magharibi",,,,,,,,,,,,,
"Magharibi",,,,,,,,,,,,,
"magonjwa",,,,,,,,,,,,,
"mahali",,,"N",,"C16 No-plural",,,,,,,,
"maisha",,,"N",,"C5 PL",,"life, lifetime",,,,,,
"maji",,,"N",,"C6","seliwa ",,,,,,,
"maji",,,,,,,,,,,,,
"majimbo",,,,,,,,,,,,,
"makao",,,,,,,,,,,,,
"makubwa",,,,,,,,,,,,,
"makuu",,,,,,,,,,,,,
"mama",,,,,,,,,,,,,
"mamba",,,"N",,"C9","lekuri ",,,,,,,
"mambo",,,,,,,,,,,,,
"mamlaka",,,,,,,,,,,,,
"maneno",,,,,,,,,,,,,
"maneno",1,,"N",,"C5 PL",,"discussion",,,,,,
"mapema",,,,,,,,,,,,,
"mara",1,,"N",,"C9",,"occurrence, “time” (as in “N times”)",,,,,,
"mara kwa mara",1,,"AV",,,,"from time to time",,,,,,
"mara moja",1,,"AV",,,,"immediately",,,,,,
"Mashariki",,,,,,,,,,,,,
"mashariki",,,,,,,,,,,,,
"masomo",,,,,,,,,,,,,
"mataifa",,,,,,,,,,,,,
"matatizo",,,,,,,,,,,,,
"matibabu",,,,,,,,,,,,,
"matokeo",1,,"V",,"C6",,"result, outcome, consequence",,,,,,
"matumizi",,,,,,,,,,,,,
"mawasiliano",,,,,,,,,,,,,
"mazingira",,,,,,,,,,,,,
"maziwa",,,"N",,"C6","lumica ",,,,,,,
"maziwa ya mgando",,,"N",,"C6","cufogo ",,,,,,,
"mbali",1,,"AV",,,,"far, distant",,,,,,
"mbalimbali",1,,"AN",,,,"different",,,,,,
"mbalimbali",2,,"AN",,,,"diverse, various",,,,,,
"mbegu",1,,"N",,"C9","dorawo ",,,,,,,
"mbele",1,,"AV",,,,"in the past",,,,,,
"mbele",2,,"AV",,,,"previously",,,,,,
"mbele",3,,"P",,,,"in front of",,,,,,
"mbele",4,,"AV",,,,"in public",,,,,,
"mbili",,,"Num",,,"jicili ","two",,,,,,
"mbinu",,,,,,,,,,,,,
