"Lemma","Discriminator","Dialect","Supertype","Morphotype","Features","Sememe","Definition","Examples","Synonyms","Gloss","Frequency","Etymology","Etymological notes"
"pluma",,,"N",,"F","lideyo ",,,,,,,
"poco",,,,,,,,,,,,,
"poliedro",,,"N",,"M","gakujo ",,,,,,,
"por",,,"P",,,,,,,,,,
"porque",,,"COO",,,,,,,,,,
"porqué",,,"Adv",,,,,,,,,,
"problema",,,"N",,"M",,,,,,,,
"probar",,,"V",,,,,,,,,,
"pronto",,,"Adv",,,,,,,,,,
"puente",,,"N",,"M","zoviqa ",,,,,,,
"puerta",,,"N",,"F",,,,,,,,
"pues",,,,,,,,,,,,,
"púrpura",,,"AN",,,"murolo ",,,,,,,
"quatro",,,"Num",,,,,,,,,,
"que",1,,"Subr",,,,,,,,,,
"qué",1,,"Pro",,,,,,,,,,
"querer",,,"V",,,,,,,,,,
"quien",,,"RelPro",,,,,,,,,,
"quién",,,"Pro",,,,,,,,,,
"quizás",,,"AV",,,,,,,,,,
"raíz",,,"N",,"F","diceva ",,,,,,,
"rápid-",,,"AN",,,,,,,,,,
"razón",,,"N",,"F",,,,,,,,
"río",,,"N",,"M","zacoye ",,,,,,,
"robot",,,"N",,"M","qiyimu ",,,,,,,
"rodilla",,,"N",,"F","nufawi ",,,,,,,
"rojo",,,"AN",,,"kukewo ",,,,,,,
"rosado",,,"AN",,,"minequ ",,,,,,,
"rostro",,,"N",,"M","culuke ",,,,,,,
"sábado",,,"N",,"M","budala ",,,,,,,
"saber",,,"V",,"DO","qipifi ",,,,,,,
"salir",,,"V",,,,,,,,,,
"sandía",,,"N",,"F","walaji ",,,,,,,
"sangre",,,"N",,"F","gefore ",,,,,,,
"se",,,"ObjPro",,,,,,,,,,
"segur-",,,"AN",,,,,,,,,,
"semana",,,"N",,"F",,,,,,,,
"semilla",,,"N",,"F","dorawo ",,,,,,,
"señor",,,"N",,"M",,,,,,,,
"ser",,,"V",,,,,,,,,,
"serpiente",,,"N",,"M","kisudo ",,,,,,,
"si",,,"Subr",,,,,,,,,,
"sí",,,"Prt",,,,,,,,,,
"siempre",,,"Adv",,,,,,,,,,
"silla",,,"N",,"F","zunoko ",,,,,,,
"simiente",3,,"N",,"F","dorawo ",,,,,,,
"sin",,,"P",,,,,,,,,,
"sobaco",,,"N",,"M","pehonu ",,,,,,,
"sobre",,,"P",,,,,,,,,,
"sol",,,"N",,"M",,,,,,,,
"solo",,,,,,,,,,,,,
"sólo",,,,,,,,,,,,,
"su",,,"D",,,,,,,,,,
"suerte",,,"N",,"F",,,,,,,,
"tal",,,"AN",,,,,,,,,,
"también",,,"Foc",,,,,,,,,,
"tan",,,"Prt",,,,,,,,,,
"tanto",,,,,,,,,,,,,
"tarde",,,"N",,"F",,,,,,,,
"te",,,"ObjPro",,,,,,,,,,
"teléfono",,,"N",,"M","suzezo ",,,,,,,
"testículo",,,"N",,"M","lonuma ",,,,,,,
"tetraedro",,,"N",,"M","kibula ",,,,,,,
"ti",,,,,,,,,,,,,
"tiburón",,,"N",,"M","zoriju ",,,,,,,
