"Lemma","Discriminator","Dialect","Supertype","Morphotype","Features","Sememe","Definition","Examples","Synonyms","Gloss","Frequency","Etymology","Etymological notes"
"butter",,,"NU",,,"gonata ",,,,,,,
"butterfly",,,"N",,,"jelawe ",,,,,,,
"buttocks",,,"N",,"PL ","yakego ",,,,,,,
"button",2,,"N",,,"pujuho ",,,,,,,
"by",1,,"P",,,,"⦃preposition for demoted agents in passive construction⦄",,,,,,
"by",2,,"P",,,,,,,,,,
"cabbage",,,"N",,,"babuto ",,,,,,,
"cable",,,"N",,,"pegefo ",,,,,,,
"cake",,,"N",,,"higovu ",,,,,,,
"calcium",,,"NU",,,"pomato ",,,,,,,
"call",,,"V",,"DO","movewo 21",,,,,,,
"call",1,,"V",,"DO","ruyeba ",,,,,,,
"calm",,,"AN",,,"qavove ",,,,,,,
"can",1,,"VMod",,,"zekupa ",,,,,,,
"can",2,,"VMod",,,"zilanu ",,,,,,,
"candle",,,"N",,,"mobupa ",,,,,,,
"canine",,,"N",,,"seyago ",,,,,,,
"can",,,"AUX",,,,,,,,,,
"can","N1",,"N",,,"gunawa ",,,,,,,
"can","N2",,"N",,,"wowube ",,,,,,,
"cannon",1,,"N",,,"goqici ",,,,,,,
"cannon",2,,"N",,,"pakucu ",,,,,,,
"canoe",,,"N",,,"gakapo ",,,,,,,
"cape",1,,"N",,,"jijotu ",,,,,,,
"car",,,"N",,,"yolase ",,,,,,,
"carbon",,,"NU",,,"sicupe ",,,,,,,
"card",,,"N",,,"teruki ",,,,,,,
"cardboard",,,"NU",,,"cipiqa ",,,,,,,
"caress",,,"V",,"DO","gunoqo ",,,,,,,
"carrot",,,"N",,,"morocu ",,,,,,,
"carry",,,"V",,"DO","diheqo ",,,,,,,
"cartilage",,,"N",,,"resere ",,,,,,,
"casserole",,,"N",,,"tikamu ",,,,,,,
"cat",,,"N",,,"fufuki ",,,,,,,
"cause",,,"V",,"DO","yajana ",,,,,,,
"celerity",,,"N",,,"culumo ",,,,,,,
"cell",,,"N",,,"majopo ",,,,,,,
"cement",,,"NU",,,"narode ",,,,,,,
"centaur",,,"N",,,"woceli ",,,,,,,
"center",,,"N",,"of","zemido 21",,,,,,,
"certain",,,"AN",,"of|that","wejufu ",,,,,,,
"cerumen",,,"NU",,,"vobako ",,,,,,,
"cetacean",,,"N",,,"fozoji ",,,,,,,
"chain",1,,"N",,,"foqale ",,,,,,,
"chainsaw",,,"N",,,"sogofa ",,,,,,,
"chair",,,"N",,,"zunoko ",,,,,,,
"challenge",,,"V",,"DO to+INF","meroca ",,,,,,,
"chaotic",,,"AN",,,"fubabi ",,,,,,,
"characteristic",,,"N",,,"wokifa ",,,,,,,
"cheek",,,"N",,,"vifeye ",,,,,,,
"cheese",,,"N",,,"dimeku ",,,,,,,
"chess",,,"N",,,"tonehi ",,,,,,,
"chest",,,"N",,,"cikaca ",,,,,,,
"chevrotain",,,"N",,,"zalosa ",,,,,,,
"chew",,,"V",,"DO","kuhohi ",,,,,,,
"chew",,,"VT^masticate",,,"pifefa ",,,,,,,
"chicken",,,"N",,,"hiwufo ",,,,,,,
"chief",,,,,,"zoqutu ",,,,,,,
"chimera",,,"N",,,"gagule ",,,,,,,
"chimpanzee",,,"N",,,"gudode ",,,,,,,
"chin",,,"N",,,"piralo ",,,,,,,
"China",,,"Name",,,"yuhuvi ",,,,,,,
"chlorine",,,"NU",,,"gizohi ",,,,,,,
"chocolate",,,"N",,,"zakemo ",,,,,,,
"chop",,,"V",,"DO","fucodu ",,,,,,,
"chromium",,,"NU",,,"gegogi ",,,,,,,
"chronometer",,,"N",,,"wicijo ",,,,,,,
"church",,,"N",,,"coweyi ",,,,,,,
"cigarette",,,"N",,,"jadadi ",,,,,,,
"cinder block",,,"N",,,"wafagu ",,,,,,,
"circumvent",,,"V",,"DO","meqiyi ",,,,,,,
"claw",,,"N",,,"cakuqo ",,,,,,,
"clay",,,"NU",,,"wusivu ",,,,,,,
"clever",,,"AN",,,"vaquni ",,,,,,,
"climb",,,"V",,"DO","ruteka ",,,,,,,
"climber",,,"N",,,"segopu ",,,,,,,
"clitoris",,,"N",,,"kemobe ",,,,,,,
